TEXTO,LABEL
caso padre terminar matar mulder nava creer partir enterrar nuevo camada agruparse cambiarse nombrar hacer político,NEGATIVO
ratero inútil llenar partir bajar puerta escoriar partir dios vergüenza ético ir directivo rancho amar chingar,NEGATIVO
mija delincuente color político ciego delincuente cuello corbata derecho centrar izquierdo sesgar,NEGATIVO
pana opini acordar solo chismoso,NEUTRO
nuevo ministro gran amigar hombre trabajador,POSITIVO
indultar peña importante decisión personal arriesgarse dar caro,NEUTRO
violación masivo pretender empujar agenda,NEGATIVO
pobrecita inofensivo vivir mosca casar mínimo misil aireaire,NEUTRO
confabulación internacional intergeneracional regir destinar tiempo sojuzgar género víctima excepción remediar ineludible impregnar gen pene pecar original,NEGATIVO
quedar despertar dormir caer contar nuevo trucar dejarme irse,NEUTRO
equivocar confundir votante izquierdo derecho generación territorio extremo izquierdo radical lleno odiar saber,NEUTRO
académico integrante participar debatir derecho cultural pueblo indígena afrodescendientes observatorio revísalo por una constitucion de derechos,POSITIVO
mezclar peor pandemia registrar peor,NEGATIVO
campeón momento oposición recibirlo recordar perder vez apoyar gubernamental programar ser crítico gobernar darle voz público,POSITIVO
actualización chico hacer directo vlive poder volver verlo feliz día adelantar probar ver videos canal,POSITIVO
asegurar director describir sector,POSITIVO
literal odiar quieto callar comer impacientar irme habitación,NEUTRO
niño patera dar formación paguitas techar patada,NEUTRO
bueno feliz fiesta gente paz mental hacer cagar ser querido ignorar tranquilidad abrazar,POSITIVO
momento ver violentar insensible decirle interesar aspecto sentir esque ver último ser responder pobriña crear problema tocho,NEGATIVO
citarle texto bíblico conservador urubistas esencia católico cristiano leerle,NEUTRO
saber hacer comunicar aceitar inoculártelo rectal,NEUTRO
pensar culpar actual población ignorar,NEGATIVO
nochebuena gritar insultar,NEGATIVO
cierto personar exponer buscar atención robarle memes amigo ponerle marcar buscar,NEUTRO
siglo milagro nacer jehová tener vida humano,POSITIVO
medir tender extrañar día juventudinfancia situación re,NEUTRO
importante información feriar obligatorio irrenunciable antofagasta calama taltal,NEUTRO
mirar fácil hacer reconocimiento labor silencioso fundamental trabajar enfermar fallecido hay pues costar desearnos feliz mirar cuenta oficial,NEUTRO
suponer llegar fallar primero poner cadena perder porcentaje,NEUTRO
grande bandera rojo gente venir peligroso venir gran contagiar existir servicio poder ayudar dejar pasar,NEGATIVO
desear feliz navidad venturoso poder reinventar,POSITIVO
plan especial prevenir expansión covid,POSITIVO
vía sector simón bolívar dirección bolívar cerrar,NEUTRO
navidad comprar subir impuesto límite insoportable incompetitivos jajajja saludo,NEUTRO
regalar libro gran autor perder historia dejar indiferente,POSITIVO
gestionar emocionar coser difícil importante vida,NEUTRO
muerto oficial anciano deleznable incompetente inepto ignorante dar asco,NEGATIVO
mirar conocer basico minino verias pelicula malisima,NEUTRO
contar desearos,POSITIVO
madurar bolivar futuro patrio librar,NEUTRO
visión pobre pobre tipo enterar generación inversión inversión extranjero deber traer dólar plan concreto corto bufón,NEGATIVO
malo personar paso gente cruel,NEGATIVO
gente stanea ace sentir triste ser homechristmas happythankstoace,NEUTRO
